First Name,Last Name,End Team,Pos,GP,SHG,SHA,SHP,45G,45A1,45A2,SHPass,SHShot,SHMiss,45Miss,45Shots,45Blkd,SHSh%,SHCoSH%,SHBlk,SHHitF,SHHitA,SHGive,SHTake,SHTOI,SHTOI/G,45TOI,45TOI/G,45TOF,45TOF/G,SH%,SHFOW,SHFOL,SHFO%,TmSHGF,TmSHGA,TmSHSVA,TmSHSVF,TmSHMF,TmSHMA,TmSHBA,TmSHBF,TmSHSCF,TmSHSCA,SHSC%,SHRelSC%,SHPenT,SHPenD,SHCorsi,SHOZ%,SHRelOZ%
Nikolaj,Ehlers,WPG,RW/LW,72,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,1,0,69,0.02,0.9,0.01,404.0,5.61,0.2%,0,0, ,0,0,0,1,0,1,0,0,0,1,0.0%,-14.9,0,1,-120.0,66.7,60.7
Christian,Ehrhoff,CHI,D,48,0,0,0,0,0,0,0,0,1,1,0,0,0.0%,0.0%,0,0,1,2,0,1177,0.41,17.0,0.35,244.6,5.10,6.5%,0,0, ,0,3,2,15,2,4,0,3,2,12,14.3%,-0.7,0,0,-52.9,11.1,4.1
Jack,Eichel,BUF,C,81,0,0,0,0,0,0,0,2,1,1,2,2,0.0%,0.0%,0,1,0,0,0,1827,0.38,29.4,0.36,326.4,4.03,8.3%,7,14,33.3%,0,1,4,21,2,16,2,11,5,28,15.2%,3.4,0,1,-46.9,16.7,11.9
Aaron,Ekblad,FLA,D,78,0,0,0,0,0,0,0,1,0,0,1,2,0.0%,0.0%,4,1,1,1,3,3477,0.74,51.2,0.66,354.6,4.55,12.6%,0,0, ,0,7,6,43,4,11,3,15,9,35,20.5%,9.2,0,1,-45.7,21.7,16.0
Mattias,Ekholm,NSH,D,82,1,1,2,1,1,0,8,5,1,1,4,1,20.0%,16.7%,18,5,4,8,4,8455,1.72,131.2,1.60,265.9,3.24,33.0%,0,0, ,3,12,20,66,3,34,2,61,13,71,15.5%,3.1,0,0,-12.3,11.4,8.4
Oliver,Ekman-Larsson,ARI,D,75,0,0,0,0,0,0,0,2,1,1,2,1,0.0%,0.0%,4,5,3,1,2,3232,0.72,47.9,0.64,408.3,5.44,10.5%,0,0, ,0,7,9,37,1,14,3,18,9,42,17.6%,6.1,3,4,-41.3,31.0,26.0
Patrik,Elias,NJD,C/LW,16,0,0,0,0,0,0,0,0,0,0,0,1,0.0%,0.0%,1,0,0,0,1,750,0.78,13.2,0.82,59.8,3.74,18.0%,1,3,25.0%,0,0,0,9,1,3,1,8,0,11,0.0%,-13.6,0,0,-18.2,16.7,6.1
Lars,Eller,MTL,C/LW,79,1,0,1,1,0,0,0,8,2,2,7,3,12.5%,8.3%,5,10,3,6,6,6353,1.34,101.3,1.28,281.5,3.56,26.5%,30,37,44.8%,2,8,22,75,6,37,8,34,24,79,23.3%,10.8,0,2,-37.9,5.4,0.7
Stefan,Elliott,NSH,D,21,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,149,0.12,2.3,0.11,104.9,4.99,2.1%,0,0, ,0,0,0,2,0,0,0,2,0,2,0.0%,-9.7,0,0,0.0,0.0,-7.8
Morgan,Ellis,MTL,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,45,0.25,0.6,0.20,19.1,6.35,3.0%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.0%,,0,0,0.0,,
