First Name,Last Name,End Team,Pos,GP,PPG,PPA,PPP,54G,54A1,54A2,PPP/60,PPShot,PPMiss,PPBlkd,PPSh%,PPCoSH%,PPPass,PPBlk,PPHitF,PPHitA,PPGive,PPTake,PPTOI,PPTOI/G,54TOI,54TOI/G,54TOF,54TOF/G,PP%,PPIGP,PPIAP,PPIPP,PPFOW,PPFOL,PPFO%,TmPPGF,TmPPGA,TmPPSVA,TmPPSVF,TmPPMF,TmPPMA,TmPPBF,TmPPBA,TmPPSCF,TmPPSCA,PPSC%,PPRelSC%,PPPenT,PPPenD,PPCorsi,PPOZ%,PPRelOZ%
Ryan,Strome,NYI,C,81,1,7,8,1,5,2,2.8,25,4,13,4.00%,2.40%,45,0,0,6,7,0,172.1,2.12,152.4,1.88,266.6,3.29,36.40%,6.30%,43.80%,50.00%,23,14,62.20%,16,0,128,15,128,15,3,55,159,15,2.1,91.4,3,0,102.5,93.6,-3.9
Brad,Stuart,COL,D,65,0,1,1,0,0,1,2.9,2,1,1,0.00%,0.00%,0,0,0,0,0,0,20.7,0.32,18.8,0.29,299.2,4.6,5.90%,0.00%,100.00%,100.00%,,, ,1,0,6,3,6,3,0,7,11,1,5.7,91.7,0,0,40.6,92,-1.2
Mark,Stuart,WPG,D,70,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%,0,0,0,0,0,0,1.9,0.03,0.8,0.01,379.3,5.42,0.20%,0.00%,0.00%,0.00%,,, ,0,0,2,0,2,0,0,0,0,0,,,1,0,128.6,100,10.7
P.K.,Subban,MTL,D,82,8,13,21,8,9,4,4.2,67,26,61,11.90%,5.20%,64,7,4,8,10,3,302.2,3.69,293.1,3.57,107.2,1.31,73.20%,24.20%,39.40%,63.60%,,, ,33,3,202,39,202,39,17,158,202,40,-1.2,83.5,3,1,98.7,94.1,2.9
Chris,Summers,NYR,D,20,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0.7,0.03,0.4,0.02,114.7,5.74,0.40%,0.00%,0.00%,0.00%,,, ,0,0,0,0,0,0,0,0,1,0,7.4,100,0,0,0,,
Andrej,Sustr,TBL,D,72,0,1,1,0,0,1,9.6,0,0,0,0.00%,0.00%,0,1,0,0,0,0,6.2,0.09,9.4,0.13,393.5,5.46,2.30%,0.00%,100.00%,100.00%,,, ,1,0,3,3,3,3,2,3,3,4,-42.3,42.9,0,0,19.3,66.7,-28.3
Ryan,Suter,MIN,D,77,1,10,11,1,5,5,2.2,40,18,40,2.50%,1.00%,62,3,4,0,4,4,294.2,3.82,282.5,3.67,101.3,1.32,73.60%,4.30%,43.50%,47.80%,,, ,23,3,262,34,262,34,8,109,262,32,1.9,89.1,0,0,117.7,97.5,12.7
Brandon,Sutter,PIT,C,80,3,2,5,3,1,1,2.5,19,3,4,15.80%,11.50%,16,0,3,9,5,0,121.6,1.52,117.3,1.47,298.4,3.73,28.20%,50.00%,33.30%,83.30%,57,44,56.40%,6,1,89,22,89,22,3,47,93,17,-4.3,84.6,0,2,90.3,88.4,-5.7
Brett,Sutter,MIN,LW/C,6,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0.4,0.07,0.2,0.03,29.1,4.85,0.60%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,100,3.2
Brody,Sutter,CAR,C,4,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,17.4,4.35,0.00%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
