PLAYER,AGE,POS,TEAM,DATE,TYPE,LENGTH,VALUE,CAP HIT
Teemu Pulkkinen,25,LW,,6-Jul-17,Standard,1,"$700,000","$700,000"
Emerson Etem,24,"LW, RW",,6-Jul-17,Standard,1,"$850,000","$850,000"
Nick Shore,24,C,,6-Jul-17,Standard,1,"$925,000","$925,000"
Philipp Grubauer,25,G,,6-Jul-17,Standard,1,"$1,500,000","$1,500,000"
Connor McDavid,20,C,,5-Jul-17,Standard,8,"$100,000,000","$12,500,000"
Travis Boyd,23,C,,5-Jul-17,Standard,1,"$650,000","$650,000"
Zach Hyman,25,LW,,5-Jul-17,Standard,4,"$9,000,000","$2,250,000"
Alex Galchenyuk,23,"C, LW, RW",,5-Jul-17,Standard,3,"$14,700,000","$4,900,000"
Kane Lafranchise,29,D,,5-Jul-17,Standard,1,"$650,000","$650,000"
Sebastian Aho,21,D,,5-Jul-17,Entry-Level,3,"$2,775,000","$770,000"
Matthew Peca,24,C,,5-Jul-17,Standard,1,"$650,000","$650,000"
Chris Driedger,23,G,,5-Jul-17,Standard,1,"$735,000","$735,000"
Jesper Fast,25,RW,,5-Jul-17,Standard,3,"$5,550,000","$1,850,000"
Tim Schaller,26,"C, LW",,5-Jul-17,Standard,1,"$775,000","$775,000"
Reto Berra,30,G,,5-Jul-17,Standard,1,"$700,000","$700,000"
Jake Dotchin,23,D,,5-Jul-17,Standard,2,"$1,625,000","$812,500"
Klim Kostin,18,RW,,5-Jul-17,Entry-Level,3,"$3,412,500","$925,000"
Justin Holl,25,D,,4-Jul-17,Standard,1,"$650,000","$650,000"
Michael Latta,26,C,,4-Jul-17,Standard,1,"$650,000","$650,000"
Andre Burakovsky,22,"LW, RW",,4-Jul-17,Standard,2,"$6,000,000","$3,000,000"
Oscar Lindberg,25,C,,4-Jul-17,Standard,2,"$3,400,000","$1,700,000"
Brandon Bollig,30,LW,,4-Jul-17,Standard,1,"$650,000","$650,000"
David Desharnais,30,C,,4-Jul-17,Standard,1,"$1,000,000","$1,000,000"
Nail Yakupov,23,"RW, LW",,4-Jul-17,Standard,1,"$875,000","$875,000"
Devante Smith-Pelly,25,"RW, LW",,3-Jul-17,Standard,1,"$650,000","$650,000"
Alexander Radulov,30,RW,,3-Jul-17,Standard,5,"$31,250,000","$6,250,000"
Xavier Ouellet,23,D,,3-Jul-17,Standard,2,"$2,500,000","$1,250,000"
Oscar Dansk,23,G,,3-Jul-17,Standard,1,"$650,000","$650,000"
Kevin Czuczman,26,D,,3-Jul-17,Standard,1,"$650,000","$650,000"
Ales Hemsky,33,RW,,3-Jul-17,Standard,1,"$1,000,000","$1,000,000"
Zach Palmquist,26,D,,3-Jul-17,Standard,1,"$726,000","$726,000"
Brad Malone,28,"C, LW",,3-Jul-17,Standard,2,"$1,300,000","$650,000"
Slater Koekkoek,23,D,,3-Jul-17,Standard,1,"$800,000","$800,000"
Carey Price,29,G,,2-Jul-17,Standard,8,"$84,000,000","$10,500,000"
Evgeny Kuznetsov,25,C,,2-Jul-17,Standard,8,"$62,400,000","$7,800,000"
Joe Thornton,38,C,,2-Jul-17,35+,1,"$8,000,000","$8,000,000"
Luke Gazdic,27,LW,,2-Jul-17,Standard,1,"$650,000","$650,000"
Mike Reilly,23,D,,2-Jul-17,Standard,2,"$1,450,000","$725,000"
Scott Sabourin,24,RW,,2-Jul-17,Standard,1,"$650,000","$650,000"
Sebastian Repo,21,"C, RW",,2-Jul-17,Entry-Level,3,"$2,220,000","$740,000"
Steve Oleksy,31,D,,2-Jul-17,Standard,2,"$1,300,000","$650,000"
Patrick Marleau,37,"LW, C",,2-Jul-17,35+,3,"$18,750,000","$6,250,000"
Brian Boyle,32,"C, LW",,1-Jul-17,Standard,2,"$5,500,000","$2,750,000"
Adam Clendening,24,D,,1-Jul-17,Standard,1,"$650,000","$650,000"
Ryan Murphy,24,D,,1-Jul-17,Standard,1,"$700,000","$700,000"
Dan Girardi,33,D,,1-Jul-17,Standard,2,"$6,000,000","$3,000,000"
Antti Niemi,33,G,,1-Jul-17,Standard,1,"$700,000","$700,000"
Benoit Pouliot,30,LW,,1-Jul-17,Standard,1,"$1,150,000","$1,150,000"
Scott Hartnell,35,LW,,1-Jul-17,35+,1,"$1,000,000","$1,000,000"
Mike Cammalleri,35,"LW, C",,1-Jul-17,35+,1,"$1,200,000","$1,000,000"
Lance Bouma,27,"C, LW, RW",,1-Jul-17,Standard,1,"$1,000,000","$1,000,000"
Trevor Daley,33,D,,1-Jul-17,Standard,3,"$9,500,000","$3,166,667"
Frank Corrado,24,D,,1-Jul-17,Standard,1,"$650,000","$650,000"
Tom Sestito,29,LW,,1-Jul-17,Standard,1,"$650,000","$650,000"
